id,name,address,city,district,lat,lng,rating,beds,er_available,specialty,phone,type
1,SCB Medical College & Hospital,Mangalabag,Cuttack,Cuttack,20.4625,85.8830,4.2,1200,1,Multi-Specialty,06712-501478,Government
2,AIIMS Bhubaneswar,Sijua Patrapada,Bhubaneswar,Khordha,20.1640,85.8188,4.6,960,1,Multi-Specialty,0674-2476789,Government
3,SUM Hospital,K8 Kalinga Nagar,Bhubaneswar,Khordha,20.3024,85.8196,4.3,750,1,Multi-Specialty,0674-6647777,Private
4,Apollo Hospitals,Plot No 251,Bhubaneswar,Khordha,20.2961,85.8245,4.5,350,1,Cardiac & Neuro,0674-6661066,Private
5,Hi-Tech Medical College,Regd Office Pandara,Bhubaneswar,Khordha,20.2850,85.8370,3.9,500,1,Multi-Specialty,0674-2311444,Private
6,Capital Hospital,Unit 6,Bhubaneswar,Khordha,20.2732,85.8450,3.8,600,1,General,0674-2391983,Government
7,Sparsh Hospital,Pokhariput,Bhubaneswar,Khordha,20.2580,85.8200,4.1,200,1,Ortho & Spine,0674-6999999,Private
8,KIMS Hospital,KIIT Campus,Bhubaneswar,Khordha,20.3520,85.8138,4.4,450,1,Multi-Specialty,0674-6646600,Private
9,District Headquarters Hospital,Cuttack Road,Balasore,Balasore,21.4927,86.9290,3.5,300,1,General,06782-262340,Government
10,Ispat General Hospital,Rourkela Steel Plant,Rourkela,Sundargarh,22.2270,84.8650,4.0,700,1,Multi-Specialty,0661-2510330,Government
11,VSS Medical College,Burla,Sambalpur,Sambalpur,21.5066,83.8757,3.9,850,1,Multi-Specialty,0663-2430787,Government
12,Hi-Care Hospital,Near Bus Stand,Berhampur,Ganjam,19.3149,84.7941,3.7,150,1,General,0680-2225678,Private
13,MKCG Medical College,Berhampur,Berhampur,Ganjam,19.3090,84.7991,4.0,900,1,Multi-Specialty,0680-2282650,Government
14,District Hospital Koraput,Main Road,Koraput,Koraput,18.8122,82.7109,3.3,200,1,General,06852-250305,Government
15,Shri Ram Chandra Bhanj Medical,Ashram Road,Cuttack,Cuttack,20.4741,85.8785,3.8,800,1,Multi-Specialty,0671-2613004,Government
16,Lifespan Hospital,Saheed Nagar,Bhubaneswar,Khordha,20.2887,85.8496,4.2,120,1,Cardiac,0674-6611222,Private
17,Care Hospital,Chandrasekharpur,Bhubaneswar,Khordha,20.3211,85.8050,4.3,300,1,Multi-Specialty,0674-6666666,Private
18,District Hospital Puri,Grand Road,Puri,Puri,19.8106,85.8314,3.4,250,1,General,06752-222071,Government
19,District Hospital Dhenkanal,NH 55,Dhenkanal,Dhenkanal,20.6607,85.5987,3.2,180,1,General,06762-226040,Government
20,Kalinga Hospital,Nayapalli,Bhubaneswar,Khordha,20.2950,85.8052,4.1,280,1,Multi-Specialty,0674-2553085,Private
21,District Hospital Keonjhar,Indira Colony,Keonjhar,Keonjhar,21.6285,85.5830,3.3,220,1,General,06766-255335,Government
22,Tata Main Hospital,Burma Mines,Jamshedpur,Sundargarh,22.4385,86.2029,4.4,760,0,Multi-Specialty,0657-6645000,Private
23,District Hospital Mayurbhanj,College Road,Baripada,Mayurbhanj,21.9326,86.7328,3.5,300,1,General,06792-252207,Government
24,Unique Hospital,Udit Nagar,Rourkela,Sundargarh,22.2592,84.8536,3.8,180,1,General,0661-2401234,Private
25,Acharya Harihar Cancer Hospital,Mangalabag,Cuttack,Cuttack,20.4623,85.8796,4.5,300,1,Oncology,0671-2304661,Government
26,Shanti Memorial Hospital,Rasulgarh,Bhubaneswar,Khordha,20.2798,85.8635,4.0,200,1,Multi-Specialty,0674-2585333,Private
27,District Hospital Bolangir,College Road,Bolangir,Bolangir,20.7028,83.4836,3.2,200,1,General,06652-232001,Government
28,District Hospital Phulbani,Main Road,Phulbani,Kandhamal,20.4744,84.2348,3.0,150,0,General,06842-252204,Government
29,District Hospital Bhadrak,Aradi Road,Bhadrak,Bhadrak,21.0582,86.4991,3.4,200,1,General,06784-252550,Government
30,Prashanti Hospital,Janpath,Bhubaneswar,Khordha,20.2688,85.8468,3.9,180,1,General,0674-2531789,Private
31,District Hospital Jagatsinghpur,NH 203,Jagatsinghpur,Jagatsinghpur,20.2580,86.1680,3.1,180,0,General,06724-220049,Government
32,District Hospital Kendrapara,College Road,Kendrapara,Kendrapara,20.5022,86.4224,3.3,180,1,General,06727-232250,Government
33,District Hospital Nayagarh,Station Road,Nayagarh,Nayagarh,20.1286,85.0956,3.1,150,0,General,06753-252266,Government
34,District Hospital Angul,Power House Road,Angul,Angul,20.8400,84.9700,3.4,250,1,General,06764-230750,Government
35,Hi-Tech Medical Sambalpur,VSS Nagar,Sambalpur,Sambalpur,21.4720,83.9700,3.7,120,1,General,0663-2545000,Private
36,District Hospital Sundergarh,NH 23,Sundargarh,Sundargarh,22.1185,84.0307,3.3,200,1,General,06622-272044,Government
37,District Hospital Jharsuguda,Near Railway Station,Jharsuguda,Jharsuguda,21.8553,84.0062,3.4,200,1,General,06645-270206,Government
38,Seva Sadan Hospital,Ganjam Road,Berhampur,Ganjam,19.3161,84.7805,3.6,100,1,General,0680-2227891,Private
39,District Hospital Nabarangpur,College Square,Nabarangpur,Nabarangpur,19.2295,82.5488,3.0,150,0,General,06858-222333,Government
40,District Hospital Nuapada,Station Road,Nuapada,Nuapada,20.7952,82.5378,2.9,120,0,General,06678-222235,Government